!datetime	flow	temp	salt	HPO4
2010-01-01 00:00:00	0.695	1.489	0.165	7.708
2010-01-02 00:00:00	0.695	1.489	0.164	7.485
2010-01-03 00:00:00	0.695	1.489	0.164	7.222
2010-01-04 00:00:00	0.695	1.489	0.164	7.124
2010-01-05 00:00:00	0.647	1.489	0.164	7.124
2010-01-06 00:00:00	0.647	1.489	0.164	7.296
2010-01-07 00:00:00	0.647	1.5	0.163	7.75
2010-01-08 00:00:00	0.614	1.59	0.163	8.354
2010-01-09 00:00:00	0.614	1.682	0.163	8.354
2010-01-10 00:00:00	0.606	1.807	0.163	8.277
2010-01-11 00:00:00	0.549	1.807	0.163	8.211
2010-01-12 00:00:00	0.546	1.807	0.163	8.211
2010-01-13 00:00:00	0.537	1.818	0.162	8.308
2010-01-14 00:00:00	0.511	1.881	0.162	8.421
2010-01-15 00:00:00	0.51	1.881	0.162	8.421
2010-01-16 00:00:00	0.48	1.881	0.162	8.421
2010-01-17 00:00:00	0.48	1.881	0.162	8.425
2010-01-18 00:00:00	0.48	1.946	0.162	8.425
2010-01-19 00:00:00	0.48	1.946	0.162	8.425
2010-01-20 00:00:00	0.485	1.946	0.161	8.538
2010-01-21 00:00:00	0.485	1.946	0.161	8.645
2010-01-22 00:00:00	0.499	1.946	0.161	8.742
2010-01-23 00:00:00	0.499	1.89	0.161	8.801
2010-01-24 00:00:00	0.499	1.806	0.161	8.828
2010-01-25 00:00:00	0.584	1.793	0.161	8.85
2010-01-26 00:00:00	0.584	1.713	0.161	8.94
2010-01-27 00:00:00	0.591	1.625	0.161	8.971
2010-01-28 00:00:00	0.591	1.61	0.161	8.971
2010-01-29 00:00:00	0.591	1.61	0.162	8.987
2010-01-30 00:00:00	0.591	1.61	0.162	8.992
2010-01-31 00:00:00	0.581	1.548	0.162	8.992
2010-02-01 00:00:00	0.581	1.507	0.162	8.97
2010-02-02 00:00:00	0.581	1.461	0.162	8.906
2010-02-03 00:00:00	0.609	1.444	0.162	8.496
2010-02-04 00:00:00	0.615	1.26	0.162	8.492
2010-02-05 00:00:00	0.615	1.157	0.161	8.492
2010-02-06 00:00:00	0.615	1.157	0.161	8.558
2010-02-07 00:00:00	0.609	1.352	0.161	8.621
2010-02-08 00:00:00	0.609	1.564	0.161	8.621
2010-02-09 00:00:00	0.609	1.7	0.161	8.621
2010-02-10 00:00:00	0.615	1.918	0.161	8.986
2010-02-11 00:00:00	0.616	1.92	0.161	8.986
2010-02-12 00:00:00	0.667	2.122	0.162	8.855
2010-02-13 00:00:00	0.67	2.201	0.162	8.721
2010-02-14 00:00:00	0.67	2.201	0.164	8.61
2010-02-15 00:00:00	0.67	2.144	0.164	8.61
2010-02-16 00:00:00	0.615	2.024	0.164	8.876
2010-02-17 00:00:00	0.615	1.967	0.164	9.008
2010-02-18 00:00:00	0.615	1.967	0.165	9.008
2010-02-19 00:00:00	0.579	1.967	0.165	9.009
2010-02-20 00:00:00	0.579	1.966	0.165	9.009
2010-02-21 00:00:00	0.566	1.966	0.165	9.03
2010-02-22 00:00:00	0.537	1.966	0.165	9.063
2010-02-23 00:00:00	0.537	1.966	0.164	9.103
2010-02-24 00:00:00	0.537	2.038	0.164	9.148
2010-02-25 00:00:00	0.537	2.179	0.164	9.194
2010-02-26 00:00:00	0.537	2.273	0.164	9.239
2010-02-27 00:00:00	0.552	2.409	0.164	9.281
2010-02-28 00:00:00	0.59	2.5	0.164	9.318
2010-02-29 00:00:00	0.721	2.808	0.164	9.331
2010-03-01 00:00:00	0.728	2.825	0.164	9.349
2010-03-02 00:00:00	0.944	2.825	0.164	9.387
2010-03-03 00:00:00	0.963	2.819	0.164	9.391
2010-03-04 00:00:00	0.963	2.816	0.164	9.391
2010-03-05 00:00:00	0.852	2.81	0.163	9.38
2010-03-06 00:00:00	0.742	2.81	0.163	9.319
2010-03-07 00:00:00	0.742	2.812	0.162	8.467
2010-03-08 00:00:00	0.751	2.938	0.161	8.348
2010-03-09 00:00:00	0.769	2.951	0.161	7.736
2010-03-10 00:00:00	0.805	2.951	0.161	7.725
2010-03-11 00:00:00	0.85	2.951	0.162	7.725
2010-03-12 00:00:00	0.85	3.002	0.162	7.739
2010-03-13 00:00:00	0.822	3.169	0.163	7.739
2010-03-14 00:00:00	0.797	3.295	0.163	7.692
2010-03-15 00:00:00	0.797	3.535	0.163	7.504
2010-03-16 00:00:00	0.872	3.559	0.162	7.41
2010-03-17 00:00:00	0.91	3.651	0.161	7.222
2010-03-18 00:00:00	0.945	3.651	0.159	7.071
2010-03-19 00:00:00	0.945	3.651	0.159	7.071
2010-03-20 00:00:00	0.945	3.601	0.159	7.071
2010-03-21 00:00:00	0.979	3.601	0.159	7.071
2010-03-22 00:00:00	0.979	3.601	0.159	6.989
2010-03-23 00:00:00	0.958	3.769	0.159	6.989
2010-03-24 00:00:00	0.958	3.952	0.159	6.989
2010-03-25 00:00:00	0.958	4.22	0.159	7.638
2010-03-26 00:00:00	0.958	4.229	0.159	7.762
2010-03-27 00:00:00	0.958	4.3	0.159	7.762
2010-03-28 00:00:00	0.946	4.3	0.159	7.557
2010-03-29 00:00:00	0.915	4.387	0.159	7.293
2010-03-30 00:00:00	0.915	4.615	0.159	7.078
2010-03-31 00:00:00	0.915	4.8	0.159	7.078
2010-04-01 00:00:00	0.915	4.893	0.159	7.084
2010-04-02 00:00:00	0.915	5.555	0.159	7.087
2010-04-03 00:00:00	0.863	5.645	0.159	7.087
2010-04-04 00:00:00	0.805	5.699	0.159	7.03
2010-04-05 00:00:00	0.788	5.822	0.159	6.916
2010-04-06 00:00:00	0.784	5.981	0.159	6.902
2010-04-07 00:00:00	0.784	6.194	0.159	6.902
2010-04-08 00:00:00	0.784	6.201	0.159	6.902
2010-04-09 00:00:00	0.726	6.217	0.159	6.902
2010-04-10 00:00:00	0.726	6.31	0.159	6.902
2010-04-11 00:00:00	0.726	6.31	0.159	6.694
2010-04-12 00:00:00	0.726	6.31	0.159	6.455
2010-04-13 00:00:00	0.751	6.31	0.159	6.152
2010-04-14 00:00:00	0.751	6.36	0.159	6.115
2010-04-15 00:00:00	0.722	6.484	0.159	6.066
2010-04-16 00:00:00	0.685	6.781	0.16	6.048
2010-04-17 00:00:00	0.685	7.058	0.16	6.021
2010-04-18 00:00:00	0.638	7.322	0.16	6.007
2010-04-19 00:00:00	0.62	7.4	0.16	6
2010-04-20 00:00:00	0.588	7.668	0.16	6
2010-04-21 00:00:00	0.584	8.075	0.16	6
2010-04-22 00:00:00	0.557	8.086	0.159	6.007
2010-04-23 00:00:00	0.539	8.561	0.159	6.016
